;title;price;date;cond;area;rooms;bathrooms;garage_slots;address;bairro;CEP;apartment_url;imd_distance;size_class;city
49;kitnet no bairro Neopolis para locação;550;14:45 2023/4/18;0;0.0;0;;0;Neópolis, Rua Maria Godeiro Fernandes;Neópolis;59086015;https://rn.olx.com.br/rio-grande-do-norte/imoveis/kitnet-no-bairro-neopolis-para-locacao-1167700591;0;0;Neópolis
50;Aluguel de casa em Neópolis;600;17:32 2023/5/6;0;0.0;0;;0;Neópolis, Rua Maestro Tom Jobim (Cj M Belo);Neópolis;59086377;https://rn.olx.com.br/rio-grande-do-norte/imoveis/aluguel-de-casa-em-neopolis-1181963259;0;0;Neópolis
51;Casa em Neopolis ;700;16:30 2023/3/29;0;0.0;0;1;0;Neópolis, Rua Pão de Açúcar;Neópolis;59086380;https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-neopolis-1165457257;0;0;Neópolis
52;Apartamento no alecrim ;750;13:20 2023/5/3;0;0.0;0;1;0;Neópolis, Rua União dos Palmares;Neópolis;59086300;https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-no-alecrim-1180464026;0;0;Neópolis
53;Apartamento locacao ;800;14:59 2023/5/7;0;0.0;0;;0;Neópolis, Rua Coronel Revoredo Filho;Neópolis;59088755;https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-locacao-1182233086;0;0;Neópolis
54;Apartamento com 2 dormitórios para alugar, 63 m² por R$ 1.190,00/ano - Ponta Negra - Natal;900;17:06 2023/4/19;0;0.0;0;;0;Neópolis, Avenida Poços de Caldas;Neópolis;59088510;https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-com-2-dormitorios-para-alugar-63-m-por-r-1-190-00-ano-ponta-negra-natal-1175116629;0;0;Neópolis
55;Alugo apartamento 2 quartos na Airton Senna perto do Favorito;900;15:31 2023/5/8;0;6.0;0;;1;Neópolis, Rua Lectícia Garcia;Neópolis;59088750;https://rn.olx.com.br/rio-grande-do-norte/imoveis/alugo-apartamento-2-quartos-na-airton-senna-perto-do-favorito-1182641867;0;0;Neópolis
56;KITNET COM 1 VIZINHO AO MIDWAY MALL;800;13:11 2023/5/6;0;48.0;1;1;0;Lagoa Seca, Rua Alberto Silva;Lagoa Seca;59022300;https://rn.olx.com.br/rio-grande-do-norte/imoveis/kitnet-com-1-vizinho-ao-midway-mall-1181866013;0;6;Lagoa Seca
57;Aluga-se. Casa 1andar sem garagem na Av. P  de Morais,  Valor 900mil reais. ;900;15:34 2023/5/5;0;80.0;0;1;0;Lagoa Seca, Avenida Prudente de Morais - de 2566 a 3294 - lado par;Lagoa Seca;59022305;https://rn.olx.com.br/rio-grande-do-norte/imoveis/aluga-se-casa-1andar-sem-garagem-na-av-p-de-morais-valor-900mil-reais-1154971973;0;10;Lagoa Seca
58;Apartamento para aluguel tem 50 metros quadrados com 2 quartos em Lagoa Seca - Natal - RN;900;08:54 2022/12/3;0;45.0;0;1;0;Lagoa Seca, Rua Antônio China;Lagoa Seca;59022220;https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-para-aluguel-tem-50-metros-quadrados-com-2-quartos-em-lagoa-seca-natal-rn-935650694;0;5;Lagoa Seca
